Название статьи,Ссылка на статью,Контекст статьи,Статус
Новинки компании DeWALT 2020,https://www.kuvalda.ru/blog/articles/newinstr/novinki-dewalt-2020_2.html,"В прошлый раз мы рассказали о деревообрабатывающих станках DeWALT. Производитель анонсировал их весной 2020, но, как оказалось, до Российских дилеров они еще не добрались. Во второй части Новинок DeWALT 2020 представим строительный электроинструмент, который уже поступил в продажу и доступен для заказа. Аккумуляторная техника продолжает вытеснять сетевого собрата со строительных площадок, и обновленные профессиональные агрегаты DeWALT тому подтверждение. Пара аккумуляторных сабельных пил DeWALT 18В DCS369N-XJ и DeWALT 12В DCS312N-XJ . Компактные сабельные пилы есть у многих производителей профессионального инструмента, однако, цены на DeWALT приятно удивят. Ранцевый аккумуляторный пылесос DeWALT DWH161N-XJ можно подключить к строительному инструменту, например, к беспроводному перфоратору. Пылесос включается одновременно с включением инструмента. Такой тандем обеспечит независимость от электросети и чистоту на объекте. Аккумуляторный строительный фен DeWALT DCE530N-XJ однозначно заставит напрячься конкурентов.",ok
Новинки DEWALT 2020,https://www.kuvalda.ru/blog/articles/newinstr/novinki-dewalt-2020.html,"Компания DeWALT весной 2020 года анонсировала для российского рынка две торцовочные пилы и рейсмусовый станок. Некоторые из этих инструментов уже какое-то время продаются в Северной Америке и Канаде. Заокеанские мастера успели попилить, построгать и оценить качество сборки, долговечность и удобство в работе на этих станках. Расскажем об особенностях, которыми наделили инженеры DeWALT новые деревообрабатывающие машины. Эта пила без механизма протяжки, однако, чтобы обеспечить показатели реза 92х200 мм под углом 90 градусов, оснащена пильным диском увеличенного диаметра — 305 мм. У DeWALT подобного типа торцовки комплектовались ранее максимум 254 мм оснасткой. Станина и поворотный стол — основа точности распиловки заготовок на торцовочном станке. Торцевание доступно с обеих сторон на углах до 50 градусов. 14 положений наклона: от 48 градусов влево, до 3 градусов вправо. Торцовка укомплектована переставной струбциной и составной вертикальной направляющей для удобства работы с длинными заготовками.",ok
Деревянные гвозди,https://www.kuvalda.ru/blog/articles/raznoe/derevyannye-gvozdi.html,"Пневматический гвоздезабивной пистолет или нейлер применяют на строительных площадках и в цеху по сборке мебели. С его помощью происходит скрепление листовых материалов стальными гвоздями и микрошпильками . Соединение получается прочное, монтаж происходит чрезвычайно быстро. Главная проблема при таком способе фиксации — коррозия и теплопроводность самих гвоздей. Примеры крепежных элементов из дерева: шканты, нагели, ламели, пробки, — все, что используют плотники и столяры. Австрийская компания Beck Fastener Group продвигает новинку — гвоздезабиватель с деревянными гвоздями LignoLoc ® . В отличие от привычного деревянного крепежа, устройство не нуждается в предварительной подготовке деталей, засверливании, не нужны пазы или насечки. Заправленные в ленту деревянные гвозди выстреливаются пневматикой в деталь. Гвоздь в форме карандаша создают из прессованной древесины бука. Прочности хватает, чтобы с помощью пневматики внедряться в фанеру, ОСБ, ДСП, ДВП и даже в массив из березы или сосны.",ok
Канадская сказка,https://www.kuvalda.ru/blog/articles/zolotye_ruky/kanadskaya-skazka.html,"Сегодняшний наш герой со своими единомышленниками возводит колоритные бревенчатые особняки в бескрайних канадских лесах. Наверняка, вы бы захотели «самоизолироваться» на недельку-другую в таком тереме. Отправимся в небольшой городок Роки Маунтин Хаус, в штате Альберта, в Канаде, и понаблюдаем за процессом создания бревенчатых шедевров. — компания под руководством Стива Ланберга, которая с 2001 года построила более двух десятков бревенчатых домов. Стив говорит, что это небольшой семейный бизнес, что у них нет цели постоянно наращивать объемы и набирать побольше заказов. Основная часть их творений разбросана в районе Роки Маунтин и Нордег, в Центральной Альберте. Основа домов — бревна из сосны, канадского красного кедра и пихты дугласа. Естественно, в дело идет только отборная древесина с прямым волокном и ровными стволами. Такая селекция сводит к минимуму растрескивание и проседание элементов, гарантируя высокое качество всего дома. Работа над новым домом начинается с доставки древесины в сборочный цех.",ok
Новинки Knipex 2020,https://www.kuvalda.ru/blog/articles/newinstr/novinki-knipex-2020.html,"В середине мая 2020 года компания KNIPEX в очередной раз порадовала любителей «красно-синего» ручного инструмента. Был анонсирован целый арсенал новинок, которые не оставят равнодушными ни одного мастера. Новые продукты уже поступили в продажу, расскажем о них подробнее. Первая новинка в нашем списке — привычные переставные клещи, но в необычно компактном исполнении. 100 миллиметровый ключик Knipex Cobra XS KN-8700100 имеет диапазон захвата гаек до 24 мм и прочего крепежа до 28 мм. На фотографиях из презентации он кажется игрушечным, но, по факту, это полноценный сантехнический переставной ключ. Ранее у Knipex самым компактным в серии Cobra была модель KN-8701125 на 125 мм, однако немцы посчитали, что есть задачи, где может потребоваться инструмент еще меньше. Knipex Cobra XS KN-8700100 появится в нашем каталоге в начале июня Мини-труборез KNIPEX TubiX® KN-903102SB создан, чтобы облегчить такую рутинную операцию, как монтаж трубопровода. Инженерная мысль упростила порядок работы до предела: труба помещается в раскрытый инструмент, движением большого пальца к ней подводится режущий диск, труборез плавно проворачивается вокруг заготовки, а положение лезвия постепенно подтягивается вентилем. Труборез справится с трубой из меди, латуни и нержавеющей стали диаметром от 6 до 35 мм и толщиной стенок до 2 мм.",ok
Картофелекопатель Юрия Сербина,https://www.kuvalda.ru/blog/articles/zolotye_ruky/kartofelekopatel-yuriya-serbina.html,"Фермер устал гнуть спину во время уборки картофеля, поэтому решил механизировать свой труд. Усовершенствовал свой мотоблок и создал машину с подающим механизмом, который доставляет клубни прямо в короб на удобной высоте — уровне пояса. Два года назад украинский фермер, изобретатель и youtube блогер Юрий Сербин смастерил необычный картофелекопатель для мотоблока . Это была не просто самодельная фреза для поднятия клубней из почвы: агрегат извлекал картофель и закидывал в большую прямоугольную корзину, которую тянул за собой. Казалось бы, просто мечта фермера: мотоблок движется, уборка идет, а клубни заполняют корзину. Но этот механизм, по мнению Юрия , оказался далеко не идеален. Десятки или сотни раз в день приходилось наклоняться к заполненному прицепу, чтобы поднять и пересыпать урожай в садовую тачку . К концу дня спина просто отваливалась. Тщательно подумав над улучшением конструкции, летом 2019 года Юрий Сербин собрал новую модификацию в которой применил запчасти от мотоцикла и другой сельскохозяйственной техники. Так выглядит новая картофелеуборочная машина (новые детали зеленого цвета): Клубни извлекаются, затем двигаются в специальном барабане и выпадают в ящик на уровне пояса.",ok
Новинка 2020 от WERA,https://www.kuvalda.ru/blog/articles/newinstr/novinka-2020-ot-wera.html,"Похоже, что компания WERA решила окончательно покорить рынок ручного инструмента , создав один ключ, способный работать с максимальным спектром метрических и дюймовых размеров, вдобавок автоматически подстраиваясь под них. Новый ключ с самонастройкой WERA JOKER 6004 — продолжил серию комбинированных ключей WERA JOKER, но стал универсальным. Один такой «Джокер» заменяет набор рожковых ключей: способен настраиваться под размер шестигранных гаек и болтов благодаря параллельно разводящимся губкам. Рычажный механизм зажимает плавно, исключая проскальзывание и повреждение крепежа во время поворота ключа. О преимуществах наличия трещотки не нужно много говорить: благодаря этому механизму крутить крепеж можно быстро и непрерывно, не перекидывая ключ. На этом фишки нового JOKER 6004 не заканчиваются: ключ унаследовал угол возврата 30 градусов от своего предшественника. Смотрите видеообзор про эти комбинированные ключи на нашем YouTube канале . Напомним, стандартный рожковый ключ имеет угол возврата 60 градусов. Малый угол реализован за счет наличия расширительной призмы в губках. Эти ухищрения созданы неспроста: сочетание трещотки и угловой призмы позволит работать с крепежом в условиях ограниченного пространства.",ok
Новинка Husqvarna 2020,https://www.kuvalda.ru/blog/articles/newinstr/novinka-husqvarna-2020.html,"Для обустройства газонов и зеленых насаждений в городах уже многие годы применяется профессиональная коммунальная техника с двигателем внутреннего сгорания: мотокосы и бензиновые триммеры . Время не стоит на месте, и компания Husqvarna стремится сделать максимально экологичными все больше видов садовых инструментов для озеленения. Одна из таких новинок в 2020 году — профессиональная аккумуляторная коса Husqvarna 535iRX для коммунальных служб. Почему при благоустройстве городских ландшафтов все больше выбирают аккумуляторную технику: Пониженный уровень шума и вибрации в сравнении с бензиновыми агрегатами. Отсутствие вредных выбросов и необходимости заправлять и хранить топливо: эксплуатация такой техники намного проще. Ресурс на одном заряде АКБ сопоставимый с временем работы на полном баке топливной смеси. Легкий вес и сбалансированная конструкция, поскольку в ней нет ДВС. В Husqvarna увидели прекрасные перспективы аккумуляторной садовой техники еще в 2012 году. Сегодня для профессионалов доступны: аккумуляторные цепные пилы , высоторезы , воздуходувки , ножницы-кусторезы и газонокосилки , — все они совместимы с универсальной аккумуляторной батареей. Высокий уровень производительности аккумуляторного инструмента — особенность, которая так важна для работы коммунальных служб.",ok
Что такое слэб и почему он так популярен,https://www.kuvalda.ru/blog/articles/raznoe/chto-takoe-sleb-i-pochemu-on-tak-populyaren.html,"Само понятие изначально пришло от мастеров обработки камня, слэбом называется тонко спиленная часть камня, которая имеет интересный узор. Слэб из древесины отличается необычной обработкой: заготовка должна иметь места с корой, трещинки и мелкие борозды. Асимметрия и неровные части не пытаются скрыть, их выделяют еще больше. Такой способ обработки материала стал необычайно популярен при создании мебели и украшении интерьера. Любители экологически чистых материалов ценят уникальную текстуру и форму, присущую каждому образцу. Долговечность правильно подготовленного и обработанного изделия из слэба подкупает так же как и способность органично вписываться в любой интерьер: лофт, рустикаль, скандинавский или стиль кантри. По сути, слэб можно сделать из чего-угодно. Но, как правило, сырье — ценные породы древесины, они однозначно не из дешевых. Мы выяснили, что слэб — это плоская заготовка, спиленная вдоль ствола дерева, своеобразная плита. Но как мастера деревообработки отличают слэб от бесчисленного множества материалов?",ok
Новинка Makita:,https://www.kuvalda.ru/blog/articles/newinstr/novinka-makita.html,"Makita представила новую беспроводную циркулярную пилу высокой мощности — DHS783ZJU . Инструмент получил легкий корпус из сплавов магния, бесколлекторный электромотор BL, оснащен пильным диском диаметром 190 мм и работает от двух аккумуляторных блоков по 18 В каждый. Главной особенностью является автоматическое подключение к пылесосу через Bluetooth модуль. Циркулярная пила совместима с системой автоматического запуска AWS: подключается к аккумуляторному пылесосу DVC864LZ через Bluetooth адаптер, который синхронизирует пуск и остановку обоих инструментов. Помимо основной фишки — беспроводной связи с пылесосом, циркулярка имеет набор современных особенностей: Автоматический контроль скорости и крутящего момента ADT. Это нужно для ситуаций, когда меняется плотность материала, происходит корректировка крутящего момента и на практике пользователь не замечает изменений: распил всегда равномерный. Плавный запуск и электронный тормоз мотора — часть системы безопасности. Пила резко не дергается в момент старта, но когда распил окончен пильный диск мгновенно перестает вращаться. Реализована двойная светодиодная подсветка, которая будет удобна при недостаточном освещении рабочей области. Об инструменте лучше скажут его технические характеристики: Диаметр посадочного отверстия — 20 мм / 30 мм Максимальная глубина пропила при 90 — 62.5 мм Максимальная глубина пропил при 45 — 44.5 мм Максимальная глубина пропил при 48 — 42 мм Число оборотов мотора на холостом ходу — 6000 об/мин Габаритные размеры (ДхВхШ) — 348х210х290 мм Вес с аккумуляторными блоками и без — 4.5 / 5.1 кг Циркулярная пила Makita DHS783ZJU поставляется в РФ в комплектации: Модель поставляется без аккумуляторов и зарядного устройства.",ok
Новинки Bosch:,https://www.kuvalda.ru/blog/articles/newinstr/novinki-bosch.html,"Компания Bosch представила инструменты, ранее считавшиеся недоступными в классе 18-вольтовой аккумуляторной техники. Новые дисковые пилы , угловые шлифмашины и перфораторы сравнятся по производительности с сетевыми аналогами мощностью от 1 до 1,8 кВт. Ключ к новым возможностям — оптимальная координация бесщеточного мотора BITURBO с новейшей электронной начинкой и энергоемкой батареей ProCORE 18 В . Это взаимодействие полностью раскрывает потенциал батареи ProCORE 18 В при энергоемких работах. Машины Bosch BITURBO с одной компактной батареей ProCORE 18 В емкостью 8 Ач или 12 Ач обладают такой же мощностью, как инструменты конкурентов, требующие для работы две батареи. Это дает преимущество: уменьшение веса и размера инструмента, как следствие, более легкую работу с ним. Инструменты из линейки BITURBO вместе с аккумуляторами и зарядными устройствами полностью совместимы со всем оборудованием Bosch 18 В. Высокая мощность — не единственное отличие новых инструментов. Практически все новинки оснащены беспроводным модулем, благодаря которому можно удаленно настраивать параметры и получать данные о техническом состоянии. На интерактивном дисплее выводится информация о режиме работы, температуре и уровне заряда.",ok
"Просто, на первый взгляд",https://www.kuvalda.ru/blog/articles/zolotye_ruky/prosto-na-pervyy-vzglyad.html,"Майкл Пекович больше двадцати лет занимается столярным делом и изготавливает предметы интерьера. В своем ремесле он экспериментирует и философствует: например, украшает изделия традиционным японским орнаментом и говорит о своем видении по-настоящему душевной мебели. Узнаем, почему мастер так ценит традиционные материалы и как создает, на первый взгляд, простые, притягательные вещи. Мастер в совершенстве овладел техникой создания декоративных решеток kumiko — некое подобие деревянных снежинок из аккуратно подогнанных элементов. Но это лишь небольшая часть его работы. Он успевает изготавливать мебель на заказ, тщательно осмысливая пожелания людей, преподает мастер-классы по деревообработке, популяризирует струбцины , стамески и рубанки . Майкл полагает, что дерево — невероятный материал. Во-первых, это возобновляемый ресурс, во вторых, он прочный и легкий. За счет разного рода обработки можно добиться различной текстуры, яркости и глубины цвета. Однако, натуральная древесина — это головная боль производителей массовой мебели.",ok
Новинки Husqvarna:,https://www.kuvalda.ru/blog/articles/newinstr/novinki-husqvarna_2.html,"Шведы презентовали две новые аккумуляторные цепные пилы : с классической конструкцией, когда рукоятка позади корпуса — 540i XP и компактный «одноручный» вариант, рукоятка сверху — пила для высотных работ T540i XP. Инженеры учли пожелания профессионалов лесного хозяйства, создали инструмент с продуманной эргономикой и мощным электромотором: показатели выше предшественников на 30%. Обе модели работают от любых аккумуляторных батарей Husqvarna: совместимы с компактными и с ранцевыми аккумуляторами. Возросшая мощность позволяет не уступать по производительности аналогичным цепным бензопилам 400 — й серии Husqvarna. На практике это значит, что пилами можно обрабатывать кроны и валить небольшие деревья. Повышенная скорость пиления требует нестандартной оснастки: обе аккумуляторные пилы поставляются с цепями X-Cut SP21G и шинами X-Precision, — комплект помогает добиться хорошей точности распила, сводит к минимуму риск отскока пильного аппарата. Обе пилы имеют схожие технические решения, но и основное концептуальное различие: Универсальная пила 540i XP с классической схемой исполнения — рукоятка сзади, подходит для любых задач, если речь идет про пиление и валку деревьев на поверхности земли. Пила с «одноручной» компоновкой T540i XP — с такой же мощностью, что и универсальная, но более маневренная; работа на высоте — её основной профиль. Арборист — специалист ухаживающий за деревьями, производит работы на высоте до 20 метров и более, спиливая ветви и стволы деревьев. Его цепная пила должна быть компактным, надежным инструментом с простым и понятным управлением.",ok
MAKITA X-LOCK,https://www.kuvalda.ru/blog/articles/newinstr/makita-x-lock.html,"Компания Makita оснастила новые аккумуляторные угловые шлифмашины DGA519ZX1 и DGA519RTJ1 быстросъемным механизмом замены оснастки X-Lock. Напомним, весной 2019 компания Bosch анонсировала новую технологию быстрой бесключевой смены оснастки УШМ. X-Lock создан, чтобы облегчить работу с угловой шлифовальной машиной, сберечь время и упростить установку отрезных и шлифовальных кругов и прочей оснастки диаметром до 125 мм . Как работает X-Lock читайте в нашей статье . Новация пришлась по вкусу бренду Makita, и японцы посчитали необходимым поддержать идею и агрегировать X-Lock в топовые новинки: аккумуляторные бесщеточные болгарки DGA519ZX1 и DGA519RTJ1. По сути, DGA519ZX1 и DGA519RTJ1— это одна машина в двух вариантах исполнения: DGA519ZX1 поставляется без АКБ и ЗУ, а DGA519RTJ1 комплектуется двумя батареями 5 Ач и зарядной станцией. Орган управление быстросъемом — кнопка с фирменным оттиском «X-Lock» над шпинделем. Она фиксирует и разблокирует оснастку на посадочном месте УШМ. Кроме кнопки на редукторе какими-либо особенными отличиями новую шлифмашину не наделили. Характеристики и главные особенности DGA519: Стандартная пусковая кнопка пистолетного типа.",ok
Новинка: аккумуляторный компрессор Metabo,https://www.kuvalda.ru/blog/articles/newinstr/novinka-akkumulyatornyy-kompressor-metabo.html,"Полноценный компрессор к которому подключается строительное оборудование — относительно новая история на рынке аккумуляторного инструмента. Чтобы узнать, на что способен новый Metabo Power 160–5 18 LTX BL OF читайте этот обзор и смотрите видео. Metabo Power 160–5 18 LTX BL OF — поршневой безмасляный компрессор с бесщеточным мотором, с питаем от аккумуляторов. Агрегат имеет 2 слота под 18 вольтовые Li-Ion аккумуляторы Metabo : в верхней части корпуса рабочий разъем, а внизу место хранения запасного аккумулятора. Сами аккумуляторы и зарядное устройство не входят в комплект поставки. Рабочее давление 8 бар и частота вращения 1400 оборотов в минуту обеспечиваются за счет работы одноцилиндрового двигателя с ременным приводом. На входе производительность 120 л/мин, а на выходе 60 л/мин. Класс защиты IP20 – агрегат не защищен от дождя; не допускайте попадания влаги на корпус. Узнать цену и заказать аккумуляторный компрессор Metabo Power 160–5 18 LTX BL OF можно по ссылке . Серия Power в наименовании указывает на то, что аппарат может и должен эксплуатироваться на строительной площадке.",ok
Интервью с Сергеем Саблиным,https://www.kuvalda.ru/blog/articles/zolotye_ruky/intervyu-s-sergeem-sablinym.html,"Сергей Саблин, будучи талантливым и неординарным человеком, совершенно точно смог бы прославиться на любом поприще, но выбрал для себя банную историю. В начале столярной карьеры он осознал, что тяготеет к работе над саунами. Сейчас число счастливых обладателей эксклюзивной парной от Саблина уже перевалило за сотню. Сергей делится своими соображениями, что у заказчиков в России небольшой выбор материалов для отделки парной — дешевая и не очень, но все же однообразная вагонка с конвейера, которая продается во всех строительных магазинах и базах. У истоков своего творческого пути мастер не нашел материал, который отвечал бы его высоким требованиям, и твердо решил создавать необходимые элементы самостоятельно. Поначалу пространство самих строительных объектов становилось временной мастерской для Сергея и его коллег. Это несколько сковывало его возможности и не позволяло в полной мере раскрыть творческий замысел. Обзаведясь собственной мастерской в столярных экспериментах Сергея наступило настоящее раздолье. Выбор Саблина — деревообрабатывающие станки JET . Ленточнопильный , фрезерный и шлифовальный станки JET — «золотые» работники предприятия: без них не обходится ни один проект.",ok
Матиас Плиссниг,https://www.kuvalda.ru/blog/articles/zolotye_ruky/matias-plissnig.html,"Дизайнер мебели Матиас Плиссниг делает скамейки и стулья удивительной формы из 100% натурального сырья: лиственных пород древесины. Плиссниг родился в Новом Орлеане и получил известность как дизайнер мебели в Провиденс, штат Род-Айленд, в настоящее время живет и работает в Бруклине, Нью-Йорк. Выпускник Школы Дизайна в Род-Айленде и Университета Висконсина, впервые заинтересовался работой по дереву после постройки лодки. Его специализация — использование изогнутой древесины для создания того, что он называет «объектами современного кинетического искусства». Газета Нью-Йорк Таймс назвала студию Плисснига лодочной мастерской. Взглянув на изогнутые линии его скамеек на ум приходит силуэт кормы деревянной лодки. Самый востребованный инструмент в таком процессе — надежные G-образные струбцины , которых у мастера сотни различных размеров и прижимной силы. Хотя Плиссниг не единственный художник или дизайнер, работающий с деревом, именно он заслужил себе славу, множество наград и упоминаний в прессе. В 2008 году получил первую награду журнала Interior Design и провел первую персональную выставку. Через год его работы приобрел «Музей искусства и дизайна» , с тех пор он оказался под пристальным вниманием творческого сообщества.",ok
Новинка от Metabo,https://www.kuvalda.ru/blog/articles/newinstr/novinka-ot-metabo.html,"Недавно мы писали о миниатюрной циркулярной пиле для листовых материалов , следующими поддержать тренд на компактные решения в классическом электроинструменте решили в Metabo. Весной 2019 немцы показали замену 10.8-вольтовой, обновленную 12-вольтовую систему со слайдерным креплением аккумулятора и уже в конце 2019 на выставке MITEX мы увидели аккумуляторную мини-УШМ с бесщёточным двигателем Metabo СС 12 BL . Metabo СС 12 BL — профессиональный инструмент со съемным Li-Ion аккумуляторным блоком, напряжение питания 12 В и ёмкостью 2 либо 4 Ач. Предназначенные для мини-болгарки диски диаметром 76 мм обеспечивают глубину максимальную глубину реза 19 мм. Оснастка крепится на шпиндель с резьбой М5 и вращается с частотой 20 000 оборотов в минуту без нагрузки. Весит новый инструмент с 2 Ач аккумуляторным блоком 824 г. Новинка оборудована бесщёточный двигателем, а электронная плата следит за температурой аккумулятора и отключает питание при перегреве, защищает от перегрузок и глубокого разряда. Корпус и рукоятка прорезинены; встроенный светодиод — индикатор состояния аккумуляторного блока, клипса позволит закрепить мини-ушм на ремне. Машинка уже доступна для заказа в Кувалда.ру в 3 версиях: с двумя аккумуляторными блоками 4 Ач либо 2 Ач и в комплектации без аккумулятора и зарядного устройства . Инструмент мощностью 10.8 / 12 вольт требуется в случае, когда важен малый вес, компактность и маневренность.",ok
Высшая ступень,https://www.kuvalda.ru/blog/articles/zolotye_ruky/vysshaya-stupen.html,"Опытный строитель Ян Крошер за 25 лет практики поднялся в топ австралийских лестничных дел мастеров. В 2009 году собрал вокруг себя команду таких же профи, организовав скромное предприятие Signature Stairs. Взяв курс на нестандартные решения, команда стала создавать авторские лестницы и балюстрады. Их конек — изящные конструкции из массива дерева, стали и стекла. В Австралии, в городе Мельбурн расположился уютный семейный бутик-фабрика Signature Stairs. Здесь трудится Ян Крошер со своим братом Марком, а его жена Дебби возглавляет отдел продаж. Ян 25 лет работал в индустрии строительства лестниц и решил, что ему пора построить свой собственный бизнес по производству, предложить что-то немного отличное от того, что делали другие. С его репутацией в отрасли это не заняло много времени. Сарафанное радио сделало свое дело: по всему штату Виктория мастер заслужил репутацию перфекциониста придирчивого к мелочам, специалиста, который на голову выше коллег по цеху. Ему подвластно все в мире лестниц: невероятные лестничные проекты с нуля, либо глубокая модернизация существующих конструкций.",ok
"Осторожно, двери закрываются",https://www.kuvalda.ru/blog/articles/zolotye_ruky/ostorozhno-dveri-skladyvayutsya.html,"Не практично, но ужасно круто: мастер разделил дверное полотно на секции, разместил петли так, что части складываются и раскладываются совершенно неожиданным образом. Оригинальная идея и воплощение называется Evolution Door , авторство принадлежит австрийскому художнику Клеменсу Торгглеру . Объекты Торгглера функционируют не так, как ожидаешь. Нахождение конкретного решения зависит от бюджета, архитектурного контекста, публичного или частного использования. Для тяжелых и массивных объектов лучше, когда движение частей двери ограничено двумя осями. Треугольная дверь — это дальнейшее развитие, эволюция кинетических дверей Торгглера . Используемые материалы: дерево, сталь и алюминий. Дверь закрывается и открывается плавно, сбалансировано. Треугольные элементы начинают вращаться и завершают движение в одной плоскости, но сместившись в сторону: такая механика при закрытии и открытии эволюционной двери. Концептуальные дизайнерские двери вряд ли получат распространение, как минимум, их сложно массово повторить, и остается много открытых вопросов их безопасности.",ok
